Transaction_ID,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price ($),Total_Price ($),Discount Applied (%),Purchase_Date,Payment_Method
10001,2103,Toys,Action Figure,9,58.76,528.84,10%,07-16-2023,bank transfer
10002,2436,Books,Non-Fiction,10,239.03,2390.3,5%,06-18-2023,credit_card
10003,2861,Toys,Lego,5,340.18,1700.9,10%,02/07/2024,bank transfer
10004,2271,Beauty,Skincare Set,7,437.88,3065.16,,11-12-2024,BANK_TRANSFER
10005,2107,Beauty,Foundation,9,375.86,3382.7400000000002,0%,18/09/2023,paypal
10006,2072,Electronics,Laptop,4,469.6,1878.4,10%,2024-10-23,paypal
10007,2701,Electronics,Laptop,2,31.68,63.36,10%,2023-08-20,PayPal
10008,2021,Electronics,Laptop,9,11.03,99.27,5%,11-21-2024,BANK_TRANSFER
10009,2615,Toys,Action Figure,2,332.36,664.72,15%,09/03/2025,BANK_TRANSFER
10010,2122,Beauty,Lipstick,3,148.23,444.68999999999994,10%,10-09-2024,PayPal
10011,2467,Beauty,Foundation,10,130.48,1304.8,10%,20/10/2023,Credit Card
10012,2215,Beauty,Foundation,2,168.79,337.58,5%,04-25-2023,bank transfer
10013,2331,Books,Biography,3,138.55,415.65000000000003,15%,2024-01-07,BANK_TRANSFER
10014,2459,Beauty,Perfume,6,258.16,1548.96,10%,04-17-2023,Credit Card
10015,2088,Books,Fiction,3,222.87,668.61,15%,2023-04-14,Credit Card
10016,2373,Electronics,Laptop,10,258.65,2586.5,,09/07/2024,paypal
10017,2100,Electronics,Laptop,8,337.99,2703.92,10%,31/10/2024,bank transfer
10018,2872,Toys,Lego,6,196.63,1179.78,5%,2023-07-08,paypal
10019,2664,Electronics,Headphones,7,129.4,905.8000000000001,10%,12-09-2024,credit_card
10020,2131,Toys,Action Figure,1,87.27,87.27,10%,2023-04-28,paypal
10021,2662,Clothing,Sneakers,3,177.99,533.97,10%,26/07/2023,BANK_TRANSFER
10022,2309,Clothing,T-Shirt,3,372.19,1116.57,5%,18/02/2025,BANK_TRANSFER
10023,2770,Home & Kitchen,Vacuum Cleaner,2,379.57,759.14,0%,2023-06-19,bank transfer
10024,2344,Toys,Lego,7,335.12,2345.84,5%,2024-08-01,Credit Card
10025,2492,Home & Kitchen,Cookware,9,120.84,1087.56,10%,09-11-2023,BANK_TRANSFER
10026,2414,Home & Kitchen,Cookware,4,296.1,1184.4,10%,08/11/2023,paypal
10027,2806,Clothing,Sneakers,5,287.49,1437.45,5%,08-21-2023,paypal
10028,2386,Toys,Doll,3,244.71,734.13,10%,10-18-2024,bank transfer
10029,2192,Clothing,Jeans,9,277.24,2495.16,5%,05-06-2023,paypal
10030,2956,Home & Kitchen,Cookware,4,248.44,993.76,5%,28/06/2023,PayPal
10031,2277,Toys,Doll,5,284.9,1424.5,,2024-07-12,bank transfer
10032,2161,Home & Kitchen,Vacuum Cleaner,1,359.18,359.18,10%,06/12/2024,bank transfer
10033,2460,Beauty,Foundation,2,59.27,118.54,15%,2023-08-07,BANK_TRANSFER
10034,2314,Toys,Action Figure,9,376.06,3384.54,10%,2024-02-25,bank transfer
10035,2022,Toys,Action Figure,2,72.26,144.52,15%,2025-03-01,credit_card
10036,2253,Home & Kitchen,Cookware,5,37.98,189.89999999999998,5%,2024-11-17,BANK_TRANSFER
10037,2748,Beauty,Foundation,8,488.16,3905.28,0%,2024-12-10,BANK_TRANSFER
10038,2857,Books,Comics,3,478.71,1436.1299999999999,5%,07-12-2024,PayPal
10039,2561,Clothing,Jeans,6,34.92,209.52,5%,03-25-2024,BANK_TRANSFER
10040,2475,Home & Kitchen,Vacuum Cleaner,4,224.41,897.64,10%,22/09/2023,Credit Card
10041,2059,Toys,Lego,7,97.19,680.3299999999999,10%,19/08/2024,paypal
10042,2511,Clothing,Jeans,10,245.25,2452.5,5%,10-11-2023,paypal
10043,2682,Clothing,Sneakers,3,415.94,1247.82,0%,11-16-2024,bank transfer
10044,2476,Clothing,T-Shirt,6,475.55,2853.3,5%,03-10-2024,PayPal
10045,2700,Books,Biography,10,318.96,3189.6,15%,2025-01-18,paypal
10046,2976,Electronics,Headphones,9,180.18,1621.6200000000001,10%,23/01/2024,Credit Card
10047,2783,Home & Kitchen,Cookware,10,303.65,3036.5,5%,04-28-2023,PayPal
10048,2190,Electronics,Smartphone,1,159.44,159.44,5%,2023-06-10,credit_card
10049,2958,Electronics,Smartphone,3,455.36,1366.08,10%,2024-11-18,paypal
10050,2687,Electronics,Smartphone,2,435.85,871.7,5%,2025-03-01,BANK_TRANSFER
10051,2958,Clothing,T-Shirt,8,281.32,2250.56,15%,07/11/2024,Credit Card
10052,2563,Beauty,Perfume,7,165.78,1160.46,5%,03-01-2024,Credit Card
10053,2876,Clothing,Sneakers,2,150.23,300.46,15%,2023-04-08,paypal
10054,2567,Clothing,T-Shirt,6,21.54,129.24,15%,27/03/2023,bank transfer
10055,2244,Toys,Doll,3,408.83,1226.49,5%,26/07/2024,credit_card
10056,2832,Toys,Action Figure,8,227.94,1823.52,15%,2024-09-01,BANK_TRANSFER
10057,2505,Electronics,Tablet,10,165.94,1659.4,5%,2024-05-27,credit_card
10058,2131,Clothing,Sneakers,3,238.2,714.5999999999999,10%,07-11-2024,credit_card
10059,2485,Electronics,Tablet,10,410.28,4102.799999999999,10%,02-22-2024,paypal
10060,2819,Toys,Doll,9,66.68,600.1200000000001,10%,18/11/2024,BANK_TRANSFER
10061,2647,Beauty,Perfume,1,429.54,429.54,15%,2024-10-14,paypal
10062,2021,Home & Kitchen,Vacuum Cleaner,5,449.27,2246.35,0%,04-11-2024,paypal
10063,2841,Electronics,Smartphone,3,473.62,1420.8600000000001,10%,2024-07-10,bank transfer
10064,2167,Beauty,Skincare Set,6,201.76,1210.56,10%,09-15-2023,Credit Card
10065,2274,Home & Kitchen,Blender,10,112.48,1124.8,5%,04-24-2023,bank transfer
10066,2388,Books,Biography,2,189.95,379.9,15%,2024-12-29,bank transfer
10067,2601,Electronics,Smartphone,9,169.79,1528.11,5%,17/12/2024,paypal
10068,2316,Electronics,Smartphone,6,92.2,553.2,5%,26/02/2024,bank transfer
10069,2014,Books,Fiction,7,305.6,2139.2000000000003,15%,03-01-2025,bank transfer
10070,2242,Books,Fiction,5,240.93,1204.65,5%,25/03/2024,PayPal
10071,2777,Electronics,Headphones,9,433.52,3901.68,,02/04/2023,BANK_TRANSFER
10072,2346,Books,Comics,1,20.89,20.89,10%,2025-03-05,Credit Card
10073,2565,Clothing,Jacket,5,323.71,1618.55,,20/05/2023,BANK_TRANSFER
10074,2898,Home & Kitchen,Vacuum Cleaner,10,382.66,3826.6000000000004,10%,2023-10-13,Credit Card
10075,2340,Home & Kitchen,Vacuum Cleaner,6,380.95,2285.7,10%,10/12/2023,PayPal
10076,2092,Home & Kitchen,Cookware,7,443.61,3105.27,15%,2024-10-02,paypal
10077,2367,Clothing,Jeans,4,365.87,1463.48,15%,05-20-2023,Credit Card
10078,2956,Books,Biography,1,464.27,464.27,0%,09-26-2024,Credit Card
10079,2455,Beauty,Foundation,8,169.67,1357.36,5%,2023-10-21,Credit Card
10080,2428,Books,Fiction,10,254.09,2540.9,,2024-01-14,PayPal
10081,2509,Electronics,Laptop,4,11.97,47.88,10%,28/12/2024,BANK_TRANSFER
10082,2776,Toys,Board Game,3,8.44,25.32,10%,10-24-2024,PayPal
10083,2943,Home & Kitchen,Vacuum Cleaner,7,123.86,867.02,5%,09/10/2023,Credit Card
10084,2035,Books,Non-Fiction,2,54.9,109.8,15%,13/03/2025,bank transfer
10085,2206,Beauty,Perfume,8,133.8,1070.4,15%,2024-03-07,Credit Card
10086,2081,Electronics,Smartphone,6,92.64,555.84,5%,2023-07-08,bank transfer
10087,2932,Clothing,Jacket,7,19.12,133.84,10%,10/10/2023,paypal
10088,2562,Clothing,Sneakers,5,455.11,2275.55,10%,2024-04-29,PayPal
10089,2872,Beauty,Lipstick,9,9.07,81.63,5%,09-13-2023,bank transfer
10090,2388,Electronics,Smartphone,5,369.36,1846.8000000000002,5%,2024-03-30,PayPal
10091,2002,Home & Kitchen,Blender,5,80.31,401.55,15%,2024-07-06,credit_card
10092,2390,Books,Fiction,3,456.55,1369.65,15%,08-09-2023,BANK_TRANSFER
10093,2566,Electronics,Tablet,1,446.93,446.93,,04-21-2023,credit_card
10094,2106,Clothing,Sneakers,2,328.68,657.36,10%,03-26-2024,bank transfer
10095,2772,Beauty,Perfume,8,337.76,2702.08,5%,2023-12-20,credit_card
10096,2822,Beauty,Lipstick,1,7.64,7.64,5%,2024-08-16,BANK_TRANSFER
10097,2477,Books,Biography,7,492.51,3447.5699999999997,15%,04-22-2024,bank transfer
10098,2703,Beauty,Lipstick,5,439.53,2197.6499999999996,5%,03/09/2023,paypal
10099,2402,Beauty,Perfume,3,448.08,1344.24,,29/05/2024,paypal
