transaction_id,customer_id,product_category,product_name,quantity,unit_price,total_price,discount_applied,purchase_date,payment_method,final_price,purchase_year,purchase_month,purchase_type,price_category,transaction_flag
10001,2103,Toys,Action Figure,9,58.76,528.84,0.1,2023-07-16,bank_transfer,475.956,2023,July,bulk,Medium,High Value
10002,2436,Books,Non-Fiction,10,239.03,2390.3,0.05,2023-06-18,credit_card,2270.785,2023,June,bulk,High,High Value
10003,2861,Toys,Lego,5,340.18,1700.9,0.1,2024-02-07,bank_transfer,1530.8100000000002,2024,February,single item,High,High Value
10004,2271,Beauty,Skincare Set,7,437.88,3065.16,0.0,2024-11-12,bank_transfer,3065.16,2024,November,bulk,High,High Value
10005,2107,Beauty,Foundation,9,375.86,3382.74,0.0,2023-09-18,paypal,3382.74,2023,September,bulk,High,High Value
10006,2072,Electronics,Laptop,4,469.6,1878.4,0.1,2024-10-23,paypal,1690.5600000000002,2024,October,single item,High,High Value
10007,2701,Electronics,Laptop,2,31.68,63.36,0.1,2023-08-20,paypal,57.024,2023,August,single item,Medium,Normal Txn
10008,2021,Electronics,Laptop,9,11.03,99.27,0.05,2024-11-21,bank_transfer,94.30649999999999,2024,November,bulk,Low,Normal Txn
10009,2615,Toys,Action Figure,2,332.36,664.72,0.15,2025-09-03,bank_transfer,565.0120000000001,2025,September,single item,High,High Value
10010,2122,Beauty,Lipstick,3,148.23,444.69,0.1,2024-10-09,paypal,400.221,2024,October,single item,High,High Value
10011,2467,Beauty,Foundation,10,130.48,1304.8,0.1,2023-10-20,credit_card,1174.32,2023,October,bulk,High,High Value
10012,2215,Beauty,Foundation,2,168.79,337.58,0.05,2023-04-25,bank_transfer,320.70099999999996,2023,April,single item,High,High Value
10013,2331,Books,Biography,3,138.55,415.65,0.15,2024-01-07,bank_transfer,353.30249999999995,2024,January,single item,High,High Value
10014,2459,Beauty,Perfume,6,258.16,1548.96,0.1,2023-04-17,credit_card,1394.064,2023,April,bulk,High,High Value
10015,2088,Books,Fiction,3,222.87,668.61,0.15,2023-04-14,credit_card,568.3185,2023,April,single item,High,High Value
10016,2373,Electronics,Laptop,10,258.65,2586.5,0.0,2024-09-07,paypal,2586.5,2024,September,bulk,High,High Value
10017,2100,Electronics,Laptop,8,337.99,2703.92,0.1,2024-10-31,bank_transfer,2433.5280000000002,2024,October,bulk,High,High Value
10018,2872,Toys,Lego,6,196.63,1179.78,0.05,2023-07-08,paypal,1120.791,2023,July,bulk,High,High Value
10019,2664,Electronics,Headphones,7,129.4,905.8,0.1,2024-12-09,credit_card,815.22,2024,December,bulk,High,High Value
10020,2131,Toys,Action Figure,1,87.27,87.27,0.1,2023-04-28,paypal,78.54299999999999,2023,April,single item,Medium,Normal Txn
10021,2662,Clothing,Sneakers,3,177.99,533.97,0.1,2023-07-26,bank_transfer,480.57300000000004,2023,July,single item,High,High Value
10022,2309,Clothing,T-Shirt,3,372.19,1116.57,0.05,2025-02-18,bank_transfer,1060.7414999999999,2025,February,single item,High,High Value
10023,2770,Home & kitchen,Vacuum Cleaner,2,379.57,759.14,0.0,2023-06-19,bank_transfer,759.14,2023,June,single item,High,High Value
10024,2344,Toys,Lego,7,335.12,2345.84,0.05,2024-08-01,credit_card,2228.5480000000002,2024,August,bulk,High,High Value
10025,2492,Home & kitchen,Cookware,9,120.84,1087.56,0.1,2023-09-11,bank_transfer,978.804,2023,September,bulk,High,High Value
10026,2414,Home & kitchen,Cookware,4,296.1,1184.4,0.1,2023-08-11,paypal,1065.96,2023,August,single item,High,High Value
10027,2806,Clothing,Sneakers,5,287.49,1437.45,0.05,2023-08-21,paypal,1365.5774999999999,2023,August,single item,High,High Value
10028,2386,Toys,Doll,3,244.71,734.13,0.1,2024-10-18,bank_transfer,660.717,2024,October,single item,High,High Value
10029,2192,Clothing,Jeans,9,277.24,2495.16,0.05,2023-05-06,paypal,2370.4019999999996,2023,May,bulk,High,High Value
10030,2956,Home & kitchen,Cookware,4,248.44,993.76,0.05,2023-06-28,paypal,944.072,2023,June,single item,High,High Value
10031,2277,Toys,Doll,5,284.9,1424.5,0.0,2024-07-12,bank_transfer,1424.5,2024,July,single item,High,High Value
10032,2161,Home & kitchen,Vacuum Cleaner,1,359.18,359.18,0.1,2024-06-12,bank_transfer,323.262,2024,June,single item,High,High Value
10033,2460,Beauty,Foundation,2,59.27,118.54,0.15,2023-08-07,bank_transfer,100.759,2023,August,single item,Medium,High Value
10034,2314,Toys,Action Figure,9,376.06,3384.54,0.1,2024-02-25,bank_transfer,3046.0860000000002,2024,February,bulk,High,High Value
10035,2022,Toys,Action Figure,2,72.26,144.52,0.15,2025-03-01,credit_card,122.842,2025,March,single item,Medium,High Value
10036,2253,Home & kitchen,Cookware,5,37.98,189.9,0.05,2024-11-17,bank_transfer,180.405,2024,November,single item,Medium,High Value
10037,2748,Beauty,Foundation,8,488.16,3905.28,0.0,2024-12-10,bank_transfer,3905.28,2024,December,bulk,High,High Value
10038,2857,Books,Comics,3,478.71,1436.13,0.05,2024-07-12,paypal,1364.3235,2024,July,single item,High,High Value
10039,2561,Clothing,Jeans,6,34.92,209.52,0.05,2024-03-25,bank_transfer,199.044,2024,March,bulk,Medium,High Value
10040,2475,Home & kitchen,Vacuum Cleaner,4,224.41,897.64,0.1,2023-09-22,credit_card,807.876,2023,September,single item,High,High Value
10041,2059,Toys,Lego,7,97.19,680.3299999999999,0.1,2024-08-19,paypal,612.2969999999999,2024,August,bulk,Medium,High Value
10042,2511,Clothing,Jeans,10,245.25,2452.5,0.05,2023-10-11,paypal,2329.875,2023,October,bulk,High,High Value
10043,2682,Clothing,Sneakers,3,415.94,1247.82,0.0,2024-11-16,bank_transfer,1247.82,2024,November,single item,High,High Value
10044,2476,Clothing,T-Shirt,6,475.55,2853.3,0.05,2024-03-10,paypal,2710.635,2024,March,bulk,High,High Value
10045,2700,Books,Biography,10,318.96,3189.6,0.15,2025-01-18,paypal,2711.16,2025,January,bulk,High,High Value
10046,2976,Electronics,Headphones,9,180.18,1621.62,0.1,2024-01-23,credit_card,1459.4579999999999,2024,January,bulk,High,High Value
10047,2783,Home & kitchen,Cookware,10,303.65,3036.5,0.05,2023-04-28,paypal,2884.6749999999997,2023,April,bulk,High,High Value
10048,2190,Electronics,Smartphone,1,159.44,159.44,0.05,2023-06-10,credit_card,151.468,2023,June,single item,High,High Value
10049,2958,Electronics,Smartphone,3,455.36,1366.08,0.1,2024-11-18,paypal,1229.472,2024,November,single item,High,High Value
10050,2687,Electronics,Smartphone,2,435.85,871.7,0.05,2025-03-01,bank_transfer,828.115,2025,March,single item,High,High Value
10051,2958,Clothing,T-Shirt,8,281.32,2250.56,0.15,2024-07-11,credit_card,1912.9759999999999,2024,July,bulk,High,High Value
10052,2563,Beauty,Perfume,7,165.78,1160.46,0.05,2024-03-01,credit_card,1102.437,2024,March,bulk,High,High Value
10053,2876,Clothing,Sneakers,2,150.23,300.46,0.15,2023-04-08,paypal,255.39099999999996,2023,April,single item,High,High Value
10054,2567,Clothing,T-Shirt,6,21.54,129.24,0.15,2023-03-27,bank_transfer,109.854,2023,March,bulk,Medium,High Value
10055,2244,Toys,Doll,3,408.83,1226.49,0.05,2024-07-26,credit_card,1165.1655,2024,July,single item,High,High Value
10056,2832,Toys,Action Figure,8,227.94,1823.52,0.15,2024-09-01,bank_transfer,1549.992,2024,September,bulk,High,High Value
10057,2505,Electronics,Tablet,10,165.94,1659.4,0.05,2024-05-27,credit_card,1576.43,2024,May,bulk,High,High Value
10058,2131,Clothing,Sneakers,3,238.2,714.5999999999999,0.1,2024-07-11,credit_card,643.14,2024,July,single item,High,High Value
10059,2485,Electronics,Tablet,10,410.28,4102.799999999999,0.1,2024-02-22,paypal,3692.5199999999995,2024,February,bulk,High,High Value
10060,2819,Toys,Doll,9,66.68,600.1200000000001,0.1,2024-11-18,bank_transfer,540.1080000000002,2024,November,bulk,Medium,High Value
10061,2647,Beauty,Perfume,1,429.54,429.54,0.15,2024-10-14,paypal,365.109,2024,October,single item,High,High Value
10062,2021,Home & kitchen,Vacuum Cleaner,5,449.27,2246.35,0.0,2024-04-11,paypal,2246.35,2024,April,single item,High,High Value
10063,2841,Electronics,Smartphone,3,473.62,1420.86,0.1,2024-07-10,bank_transfer,1278.774,2024,July,single item,High,High Value
10064,2167,Beauty,Skincare Set,6,201.76,1210.56,0.1,2023-09-15,credit_card,1089.504,2023,September,bulk,High,High Value
10065,2274,Home & kitchen,Blender,10,112.48,1124.8,0.05,2023-04-24,bank_transfer,1068.56,2023,April,bulk,High,High Value
10066,2388,Books,Biography,2,189.95,379.9,0.15,2024-12-29,bank_transfer,322.91499999999996,2024,December,single item,High,High Value
10067,2601,Electronics,Smartphone,9,169.79,1528.11,0.05,2024-12-17,paypal,1451.7044999999998,2024,December,bulk,High,High Value
10068,2316,Electronics,Smartphone,6,92.2,553.2,0.05,2024-02-26,bank_transfer,525.54,2024,February,bulk,Medium,High Value
10069,2014,Books,Fiction,7,305.6,2139.2000000000003,0.15,2025-03-01,bank_transfer,1818.3200000000002,2025,March,bulk,High,High Value
10070,2242,Books,Fiction,5,240.93,1204.65,0.05,2024-03-25,paypal,1144.4175,2024,March,single item,High,High Value
10071,2777,Electronics,Headphones,9,433.52,3901.68,0.0,2023-02-04,bank_transfer,3901.68,2023,February,bulk,High,High Value
10072,2346,Books,Comics,1,20.89,20.89,0.1,2025-03-05,credit_card,18.801000000000002,2025,March,single item,Medium,Normal Txn
10073,2565,Clothing,Jacket,5,323.71,1618.55,0.0,2023-05-20,bank_transfer,1618.55,2023,May,single item,High,High Value
10074,2898,Home & kitchen,Vacuum Cleaner,10,382.66,3826.6,0.1,2023-10-13,credit_card,3443.94,2023,October,bulk,High,High Value
10075,2340,Home & kitchen,Vacuum Cleaner,6,380.95,2285.7,0.1,2023-10-12,paypal,2057.13,2023,October,bulk,High,High Value
10076,2092,Home & kitchen,Cookware,7,443.61,3105.27,0.15,2024-10-02,paypal,2639.4795,2024,October,bulk,High,High Value
10077,2367,Clothing,Jeans,4,365.87,1463.48,0.15,2023-05-20,credit_card,1243.958,2023,May,single item,High,High Value
10078,2956,Books,Biography,1,464.27,464.27,0.0,2024-09-26,credit_card,464.27,2024,September,single item,High,High Value
10079,2455,Beauty,Foundation,8,169.67,1357.36,0.05,2023-10-21,credit_card,1289.4919999999997,2023,October,bulk,High,High Value
10080,2428,Books,Fiction,10,254.09,2540.9,0.0,2024-01-14,paypal,2540.9,2024,January,bulk,High,High Value
10081,2509,Electronics,Laptop,4,11.97,47.88,0.1,2024-12-28,bank_transfer,43.092000000000006,2024,December,single item,Low,Normal Txn
10082,2776,Toys,Board Game,3,8.44,25.32,0.1,2024-10-24,paypal,22.788,2024,October,single item,Low,Normal Txn
10083,2943,Home & kitchen,Vacuum Cleaner,7,123.86,867.02,0.05,2023-09-10,credit_card,823.669,2023,September,bulk,High,High Value
10084,2035,Books,Non-Fiction,2,54.9,109.8,0.15,2025-03-13,bank_transfer,93.33,2025,March,single item,Medium,Normal Txn
10085,2206,Beauty,Perfume,8,133.8,1070.4,0.15,2024-03-07,credit_card,909.84,2024,March,bulk,High,High Value
10086,2081,Electronics,Smartphone,6,92.64,555.84,0.05,2023-07-08,bank_transfer,528.048,2023,July,bulk,Medium,High Value
10087,2932,Clothing,Jacket,7,19.12,133.84,0.1,2023-10-10,paypal,120.456,2023,October,bulk,Low,High Value
10088,2562,Clothing,Sneakers,5,455.11,2275.55,0.1,2024-04-29,paypal,2047.9950000000001,2024,April,single item,High,High Value
10089,2872,Beauty,Lipstick,9,9.07,81.63,0.05,2023-09-13,bank_transfer,77.54849999999999,2023,September,bulk,Low,Normal Txn
10090,2388,Electronics,Smartphone,5,369.36,1846.8,0.05,2024-03-30,paypal,1754.4599999999998,2024,March,single item,High,High Value
10091,2002,Home & kitchen,Blender,5,80.31,401.55,0.15,2024-07-06,credit_card,341.3175,2024,July,single item,Medium,High Value
10092,2390,Books,Fiction,3,456.55,1369.65,0.15,2023-08-09,bank_transfer,1164.2025,2023,August,single item,High,High Value
10093,2566,Electronics,Tablet,1,446.93,446.93,0.0,2023-04-21,credit_card,446.93,2023,April,single item,High,High Value
10094,2106,Clothing,Sneakers,2,328.68,657.36,0.1,2024-03-26,bank_transfer,591.624,2024,March,single item,High,High Value
10095,2772,Beauty,Perfume,8,337.76,2702.08,0.05,2023-12-20,credit_card,2566.9759999999997,2023,December,bulk,High,High Value
10096,2822,Beauty,Lipstick,1,7.64,7.64,0.05,2024-08-16,bank_transfer,7.257999999999999,2024,August,single item,Low,Normal Txn
10097,2477,Books,Biography,7,492.51,3447.57,0.15,2024-04-22,bank_transfer,2930.4345,2024,April,bulk,High,High Value
10098,2703,Beauty,Lipstick,5,439.53,2197.65,0.05,2023-03-09,paypal,2087.7675,2023,March,single item,High,High Value
10099,2402,Beauty,Perfume,3,448.08,1344.24,0.0,2024-05-29,paypal,1344.24,2024,May,single item,High,High Value
10100,2730,Electronics,Tablet,7,331.33,2319.31,0.15,2023-09-08,bank_transfer,1971.4134999999999,2023,September,bulk,High,High Value
10101,2556,Home & kitchen,Microwave,9,175.67,1581.03,0.1,2023-12-27,bank_transfer,1422.927,2023,December,bulk,High,High Value
10102,2162,Books,Biography,2,447.36,894.72,0.1,2023-09-05,bank_transfer,805.248,2023,September,single item,High,High Value
10103,2202,Electronics,Headphones,8,149.3,1194.4,0.15,2024-10-12,paypal,1015.24,2024,October,bulk,High,High Value
10104,2958,Home & kitchen,Cookware,9,283.54,2551.86,0.15,2023-08-23,bank_transfer,2169.081,2023,August,bulk,High,High Value
10105,2996,Electronics,Laptop,3,54.37,163.11,0.1,2024-04-03,paypal,146.799,2024,April,single item,Medium,High Value
10106,2270,Toys,Doll,2,461.37,922.74,0.1,2023-12-28,paypal,830.466,2023,December,single item,High,High Value
10107,2863,Electronics,Headphones,7,74.68,522.76,0.05,2024-01-02,paypal,496.62199999999996,2024,January,bulk,Medium,High Value
10108,2816,Beauty,Foundation,5,116.32,581.5999999999999,0.15,2024-11-30,bank_transfer,494.3599999999999,2024,November,single item,High,High Value
10109,2271,Home & kitchen,Vacuum Cleaner,5,281.28,1406.4,0.1,2024-02-17,credit_card,1265.7600000000002,2024,February,single item,High,High Value
10110,2456,Books,Biography,10,383.23,3832.3,0.05,2024-04-13,credit_card,3640.685,2024,April,bulk,High,High Value
10111,2462,Books,Comics,5,311.58,1557.9,0.05,2023-07-13,paypal,1480.005,2023,July,single item,High,High Value
10112,2727,Home & kitchen,Cookware,4,119.91,479.64,0.0,2024-04-26,credit_card,479.64,2024,April,single item,High,High Value
10113,2252,Beauty,Skincare Set,5,5.47,27.35,0.1,2023-12-18,credit_card,24.615000000000002,2023,December,single item,Low,Normal Txn
10114,2702,Clothing,Sneakers,4,379.79,1519.16,0.15,2024-11-06,paypal,1291.286,2024,November,single item,High,High Value
10115,2296,Electronics,Laptop,6,492.68,2956.08,0.05,2024-08-19,paypal,2808.276,2024,August,bulk,High,High Value
