Transaction_ID,Customer_ID,Region,Product_Category,Product_Name,Quantity,Unit_Price ($),Total_Sales ($),Transaction_Date,Payment_Method
10001,2861,East,Books,Biography,3,155.58,466.74,2024-09-09,PayPal
10002,3295,West,Toys,Action Figure,8,439.08,3512.64,2023-09-14,PayPal
10003,3131,North,Toys,Doll,8,276.15,2209.2,2024-08-17,Credit Card
10004,3096,North,Electronics,Laptop,2,291.73,583.46,2025-01-04,PayPal
10005,3639,South,Beauty,Perfume,7,332.55,2327.85,2024-03-09,PayPal
10006,4170,South,Clothing,Jeans,1,153.61,153.61,2023-05-21,PayPal
10007,2467,West,Home & Kitchen,Blender,2,219.23,438.46,2024-03-31,Bank Transfer
10008,3239,South,Clothing,Jeans,8,372.09,2976.72,2023-09-06,PayPal
10009,2331,East,Beauty,Perfume,1,492.82,492.82,2023-04-30,Credit Card
10010,3483,West,Toys,Board Game,2,21.98,43.96,2023-05-25,PayPal
10011,4136,East,Home & Kitchen,Blender,1,26.11,26.11,2024-04-18,PayPal
10012,4920,North,Books,Fiction,5,216.9,1084.5,2024-09-18,Bank Transfer
10013,2131,East,Toys,Lego,7,331.51,2320.57,2024-04-29,PayPal
10014,3686,North,Toys,Doll,6,196.25,1177.5,2023-06-25,Bank Transfer
10015,2770,East,Electronics,Headphones,6,499.82,2998.92,2024-03-28,Bank Transfer
10016,4392,North,Beauty,Perfume,6,101.7,610.2,2025-03-02,Bank Transfer
10017,3516,South,Electronics,Tablet,8,8.92,71.36,2023-06-08,PayPal
10018,4854,East,Electronics,Headphones,5,99.11,495.55,2023-07-18,Credit Card
10019,4434,North,Clothing,T-Shirt,10,443.99,4439.9,2024-05-19,Credit Card
10020,3216,East,Toys,Board Game,7,76.85,537.95,2024-05-05,PayPal
10021,2956,West,Beauty,Skincare Set,3,242.09,726.27,2023-06-06,Bank Transfer
10022,4325,South,Electronics,Headphones,9,212.54,1912.86,2024-10-20,Credit Card
10023,3185,North,Books,Biography,10,334.53,3345.3,2024-04-10,PayPal
10024,2460,West,Home & Kitchen,Cookware,3,32.02,96.06,2023-10-01,Credit Card
10025,2022,East,Beauty,Perfume,6,331.08,1986.48,2023-10-30,PayPal
10026,4301,West,Clothing,Jacket,3,180.6,541.8,2024-10-24,Bank Transfer
10027,2748,East,Beauty,Perfume,1,463.39,463.39,2024-03-14,Credit Card
10028,4905,South,Toys,Lego,1,425.2,425.2,2023-09-23,PayPal
10029,2475,West,Clothing,Sneakers,3,202.76,608.28,2023-06-19,PayPal
10030,3083,South,Home & Kitchen,Vacuum Cleaner,4,496.48,1985.92,2023-05-16,Credit Card
10031,4559,North,Books,Fiction,2,30.71,61.42,2023-07-08,PayPal
10032,4048,East,Electronics,Tablet,9,395.37,3558.33,2024-09-26,Credit Card
10033,4748,East,Beauty,Foundation,8,219.75,1758.0,2023-11-16,PayPal
10034,2976,South,Clothing,Sneakers,3,219.49,658.47,2024-01-07,Credit Card
10035,3807,South,Home & Kitchen,Blender,7,89.22,624.54,2024-03-02,Bank Transfer
10036,2190,North,Electronics,Smartphone,4,259.87,1039.48,2024-08-17,Credit Card
10037,4735,West,Home & Kitchen,Microwave,5,46.94,234.7,2024-09-11,PayPal
10038,2563,East,Books,Comics,4,310.21,1240.84,2024-06-01,Bank Transfer
10039,3900,East,Electronics,Headphones,9,124.59,1121.31,2024-07-27,Bank Transfer
10040,3268,North,Electronics,Tablet,7,363.8,2546.6,2025-01-16,Credit Card
10041,4880,North,Electronics,Tablet,4,305.64,1222.56,2024-04-23,Credit Card
10042,3529,South,Clothing,Jacket,8,374.47,2995.76,2025-03-16,Credit Card
10043,2647,South,Electronics,Laptop,2,376.12,752.24,2023-07-03,Bank Transfer
10044,4069,West,Home & Kitchen,Cookware,7,102.37,716.59,2024-05-09,Bank Transfer
10045,4889,North,Clothing,Jeans,1,5.33,5.33,2023-10-31,Credit Card
10046,4215,West,Electronics,Laptop,8,186.05,1488.4,2025-03-15,PayPal
10047,3298,North,Home & Kitchen,Vacuum Cleaner,6,459.94,2759.64,2023-10-07,Bank Transfer
10048,4436,East,Home & Kitchen,Cookware,5,291.06,1455.3,2025-01-22,Credit Card
10049,2601,North,Beauty,Foundation,9,365.11,3285.99,2024-02-04,PayPal
10050,4364,North,Home & Kitchen,Cookware,9,440.39,3963.51,2025-02-27,Credit Card
10051,4062,East,Toys,Action Figure,3,453.5,1360.5,2024-08-09,Bank Transfer
10052,2242,North,Books,Fiction,9,266.87,2401.83,2024-10-26,Bank Transfer
10053,4042,West,Electronics,Headphones,9,272.77,2454.93,2024-09-20,Credit Card
