Order_ID,Customer_ID,Order_Date,Product_Name,Category,Quantity,Unit_Price ($),Total_Amount ($),Payment_Date,Payment_Amount ($)
14456,6368,2023-03-24,Jeans,Clothing,1,343.02,343.02,,
19129,4327,2023-03-24,Action Figure,Toys,1,450.4,450.4,,
15382,3664,2023-03-24,Action Figure,Toys,2,95.76,191.52,,
17274,3573,2023-03-24,Microwave,Home & Kitchen,4,81.16,324.64,,
15408,5536,2023-03-24,Lego,Toys,4,286.92,1147.68,,
13002,6811,2023-03-24,Jacket,Clothing,1,435.07,435.07,,
19046,6129,2023-03-24,Non-Fiction,Books,4,280.27,1121.08,,
18090,4576,2023-03-24,Sneakers,Clothing,5,244.03,1220.15,,
16310,2821,2023-03-24,Lipstick,Beauty,3,177.21,531.63,,
15700,2011,2023-03-24,Headphones,Electronics,3,175.69,527.07,,
14284,5141,2023-03-24,Jacket,Clothing,3,483.89,1451.67,,
19464,6453,2023-03-25,Smartphone,Electronics,4,27.22,108.88,,
10742,2257,2023-03-25,Comics,Books,4,26.68,106.72,,
13770,6335,2023-03-25,Non-Fiction,Books,2,104.78,209.56,,
14131,6802,2023-03-25,Headphones,Electronics,3,53.02,159.06,,
15030,3117,2023-03-25,Smartphone,Electronics,1,183.77,183.77,,
17124,2855,2023-03-25,Fiction,Books,3,103.19,309.57,,
14563,6370,2023-03-25,Board Game,Toys,2,458.54,917.08,,
17142,2037,2023-03-25,Cookware,Home & Kitchen,4,58.43,233.72,,
15773,6349,2023-03-25,Cookware,Home & Kitchen,3,132.65,397.95,,
13169,5347,2023-03-25,Comics,Books,3,227.07,681.21,,
12928,4546,2023-03-25,Smartphone,Electronics,5,345.54,1727.7,,
13441,6488,2023-03-25,Jeans,Clothing,5,385.67,1928.35,,
15702,6505,2023-03-25,Blender,Home & Kitchen,5,493.62,2468.1,,
18454,6710,2023-03-25,Biography,Books,5,66.87,334.35,,
12828,2174,2023-03-25,Action Figure,Toys,1,278.54,278.54,,
18907,3628,2023-03-25,Foundation,Beauty,5,410.73,2053.65,,
19050,4789,2023-03-25,Headphones,Electronics,1,156.33,156.33,,
13898,5341,2023-03-25,Non-Fiction,Books,5,327.02,1635.1,,
16454,2339,2023-03-25,Perfume,Beauty,1,166.28,166.28,,
17018,4486,2023-03-25,Laptop,Electronics,3,12.64,37.92,,
15235,5725,2023-03-25,Perfume,Beauty,3,330.2,990.6,,
16409,4428,2023-03-25,Microwave,Home & Kitchen,2,251.76,503.52,,
10863,5284,2023-03-25,Perfume,Beauty,2,449.31,898.62,,
10888,4331,2023-03-25,Jeans,Clothing,5,376.76,1883.8,,
12096,2774,2023-03-26,Tablet,Electronics,5,308.56,1542.8,,
12494,2225,2023-03-26,Fiction,Books,3,29.23,87.69,,
15666,5482,2023-03-26,Lego,Toys,4,354.77,1419.08,,
18443,3143,2023-03-26,Laptop,Electronics,4,87.35,349.4,,
14069,4152,2023-03-26,Microwave,Home & Kitchen,2,439.28,878.56,,
15853,5164,2023-03-26,Fiction,Books,3,26.04,78.12,,
14831,5503,2023-03-26,Blender,Home & Kitchen,1,319.6,319.6,,
