Order_ID,Customer_ID,Order_Date,Product_Name,Category,Quantity,Unit_Price ($),Total_Amount ($)
10001,5263,2024-07-31,Laptop,Electronics,1,251.96,251.96
10002,3027,2024-12-01,Laptop,Electronics,1,10.43,10.43
10003,4990,2023-11-01,Vacuum Cleaner,Home & Kitchen,5,432.74,2163.7
10004,4225,2023-08-26,Comics,Books,3,16.21,48.63
10005,4921,2024-01-26,T-Shirt,Clothing,1,13.43,13.43
10006,6316,2024-02-16,Lego,Toys,5,309.64,1548.2
10007,6269,2024-08-01,Foundation,Beauty,2,487.03,974.06
10008,4784,2024-12-31,Blender,Home & Kitchen,4,429.41,1717.64
10009,3414,2023-07-16,T-Shirt,Clothing,1,133.49,133.49
10010,6598,2024-06-19,Action Figure,Toys,5,106.37,531.85
10011,5649,2023-07-01,Board Game,Toys,1,316.79,316.79
10012,4809,2023-08-22,Comics,Books,2,413.09,826.18
10013,5332,2023-03-31,Laptop,Electronics,3,187.42,562.26
10014,4179,2024-12-03,Comics,Books,5,221.85,1109.25
10015,2798,2023-07-18,Action Figure,Toys,2,66.59,133.18
10016,4847,2024-02-18,Non-Fiction,Books,4,84.88,339.52
10017,2930,2024-06-23,Cookware,Home & Kitchen,5,288.49,1442.45
10018,6819,2023-11-18,Jeans,Clothing,4,60.3,241.2
10019,5092,2024-11-05,Action Figure,Toys,3,109.0,327.0
10020,4263,2025-02-08,Cookware,Home & Kitchen,5,124.99,624.95
10021,3334,2024-07-22,Jeans,Clothing,5,227.52,1137.6
10022,3275,2023-08-06,Microwave,Home & Kitchen,2,32.35,64.7
10023,6584,2024-04-06,Skincare Set,Beauty,1,254.89,254.89
10024,5481,2023-12-09,Headphones,Electronics,5,465.05,2325.25
10025,5343,2023-12-26,Tablet,Electronics,3,21.99,65.97
10026,3218,2024-03-28,Laptop,Electronics,5,319.18,1595.9
10027,3465,2024-06-13,Skincare Set,Beauty,5,419.56,2097.8
10028,6409,2024-11-06,Action Figure,Toys,5,163.11,815.55
10029,6175,2023-06-22,Board Game,Toys,5,74.44,372.2
10030,6771,2023-12-30,Lipstick,Beauty,3,31.24,93.72
10031,2014,2023-04-22,Laptop,Electronics,2,325.51,651.02
10032,4294,2024-02-07,Laptop,Electronics,1,280.59,280.59
10033,4046,2025-03-13,Jacket,Clothing,3,122.35,367.05
10034,3038,2025-02-03,Jacket,Clothing,3,417.49,1252.47
10035,6129,2024-10-18,Biography,Books,4,370.4,1481.6
10036,3460,2024-11-08,Blender,Home & Kitchen,1,145.45,145.45
10037,2257,2024-01-25,Sneakers,Clothing,2,379.15,758.3
10038,6130,2025-03-04,Sneakers,Clothing,2,130.05,260.1
10039,6074,2023-05-05,Jacket,Clothing,4,340.88,1363.52
10040,3284,2023-08-12,Jacket,Clothing,4,68.09,272.36
10041,5488,2024-08-09,Foundation,Beauty,3,349.2,1047.6
10042,4185,2024-07-15,Fiction,Books,2,127.0,254.0
10043,2359,2023-07-08,Jeans,Clothing,2,290.51,581.02
10044,5792,2023-12-25,Lego,Toys,2,94.51,189.02
10045,6850,2025-03-16,Vacuum Cleaner,Home & Kitchen,3,365.72,1097.16
10046,5188,2023-12-03,T-Shirt,Clothing,2,39.83,79.66
10047,6500,2024-07-21,Lipstick,Beauty,5,91.05,455.25
10048,3226,2023-09-21,Lego,Toys,4,100.23,400.92
10049,4298,2024-08-25,Laptop,Electronics,4,30.26,121.04
10050,2278,2023-04-21,Headphones,Electronics,4,375.06,1500.24
10051,6208,2025-01-30,Fiction,Books,4,490.67,1962.68
10052,3987,2024-09-18,Smartphone,Electronics,5,391.41,1957.05
10053,5545,2023-04-14,Jacket,Clothing,1,431.71,431.71
10054,4794,2024-02-07,Skincare Set,Beauty,2,12.94,25.88
10055,2392,2025-01-07,Fiction,Books,4,67.76,271.04
10056,2969,2024-05-14,Board Game,Toys,2,283.92,567.84
10057,4191,2023-05-09,Sneakers,Clothing,2,489.16,978.32
10058,4229,2025-01-22,Tablet,Electronics,5,333.75,1668.75
10059,4627,2024-05-31,Blender,Home & Kitchen,2,193.33,386.66
10060,4846,2023-04-08,T-Shirt,Clothing,4,81.61,326.44
10061,6365,2025-01-08,Blender,Home & Kitchen,2,84.89,169.78
10062,5308,2024-07-01,Lego,Toys,5,187.75,938.75
10063,4601,2023-05-15,Vacuum Cleaner,Home & Kitchen,4,359.77,1439.08
10064,4681,2023-04-07,Doll,Toys,5,25.59,127.95
10065,6371,2023-09-15,Comics,Books,3,427.57,1282.71
10066,6839,2023-04-16,Foundation,Beauty,1,471.36,471.36
10067,2086,2025-03-11,Smartphone,Electronics,2,445.52,891.04
10068,5135,2024-08-14,Headphones,Electronics,2,457.38,914.76
10069,6500,2023-10-27,Jacket,Clothing,2,17.52,35.04
10070,4240,2024-02-21,Headphones,Electronics,3,489.12,1467.36
10071,5365,2025-02-21,Fiction,Books,1,189.51,189.51
10072,4046,2023-10-05,Headphones,Electronics,5,435.95,2179.75
10073,3055,2025-02-02,Jacket,Clothing,3,101.54,304.62
10074,5402,2024-09-10,Headphones,Electronics,3,228.8,686.4
10075,5730,2024-09-13,Foundation,Beauty,4,31.64,126.56
10076,4670,2023-05-08,Doll,Toys,3,29.64,88.92
10077,2276,2025-03-08,Cookware,Home & Kitchen,3,472.21,1416.63
10078,6747,2023-06-30,Vacuum Cleaner,Home & Kitchen,2,407.2,814.4
10079,6091,2023-04-01,Doll,Toys,4,269.61,1078.44
10080,3106,2025-01-06,Blender,Home & Kitchen,5,267.47,1337.35
10081,6682,2023-09-14,Foundation,Beauty,1,376.89,376.89
10082,4933,2024-10-31,Fiction,Books,5,177.42,887.1
10083,2129,2023-09-28,T-Shirt,Clothing,4,383.32,1533.28
10084,6352,2024-10-05,Lipstick,Beauty,2,247.65,495.3
10085,6327,2023-07-01,Jeans,Clothing,1,322.58,322.58
10086,5569,2023-06-20,Non-Fiction,Books,5,482.77,2413.85
10087,4403,2025-01-03,Foundation,Beauty,1,240.94,240.94
10088,3648,2023-04-15,Tablet,Electronics,1,215.02,215.02
10089,5557,2024-12-04,Comics,Books,1,453.82,453.82
10090,5892,2024-05-11,Cookware,Home & Kitchen,3,452.26,1356.78
10091,4194,2024-02-14,Skincare Set,Beauty,4,496.29,1985.16
10092,4048,2024-07-14,Comics,Books,4,279.92,1119.68
10093,5105,2023-06-07,Comics,Books,2,178.69,357.38
10094,6356,2023-06-08,Lipstick,Beauty,5,127.79,638.95
10095,4135,2023-05-06,Microwave,Home & Kitchen,2,26.71,53.42
10096,2843,2024-07-05,Lego,Toys,5,366.1,1830.5
10097,3972,2024-03-09,Blender,Home & Kitchen,1,124.4,124.4
10098,6361,2023-08-07,Biography,Books,5,307.25,1536.25
10099,5904,2023-06-30,Sneakers,Clothing,5,459.13,2295.65
10100,5614,2023-04-22,Action Figure,Toys,1,475.6,475.6
10101,2392,2023-09-02,Doll,Toys,2,12.16,24.32
10102,4280,2023-04-17,Fiction,Books,5,165.37,826.85
10103,2901,2024-07-18,Perfume,Beauty,2,420.32,840.64
10104,6684,2023-05-21,Perfume,Beauty,2,272.86,545.72
10105,4495,2023-07-02,Foundation,Beauty,4,405.68,1622.72
10106,3153,2023-11-25,Vacuum Cleaner,Home & Kitchen,1,428.13,428.13
10107,3295,2024-05-28,Tablet,Electronics,1,226.89,226.89
10108,2466,2023-05-22,Perfume,Beauty,3,185.9,557.7
10109,4176,2023-09-14,Skincare Set,Beauty,2,233.16,466.32
10110,5246,2025-01-26,Lego,Toys,3,329.87,989.61
10111,2488,2024-05-31,Sneakers,Clothing,1,189.91,189.91
10112,4939,2024-12-20,Jeans,Clothing,1,389.74,389.74
10113,4627,2023-10-14,Comics,Books,3,452.96,1358.88
10114,2950,2023-10-15,Fiction,Books,1,148.33,148.33
10115,6502,2024-03-11,Biography,Books,1,482.84,482.84
10116,3050,2024-12-27,Perfume,Beauty,4,315.14,1260.56
10117,6076,2025-03-01,Jacket,Clothing,5,440.3,2201.5
10118,6460,2024-01-08,Fiction,Books,4,60.92,243.68
10119,3391,2023-06-06,Jacket,Clothing,5,133.23,666.15
10120,3084,2024-04-26,Foundation,Beauty,4,167.3,669.2
10121,6647,2023-08-08,Board Game,Toys,4,158.38,633.52
10122,3659,2023-06-04,Foundation,Beauty,2,94.21,188.42
10123,6388,2023-11-01,Non-Fiction,Books,3,435.42,1306.26
10124,3818,2024-05-23,Lipstick,Beauty,4,215.12,860.48
10125,2191,2025-01-09,Foundation,Beauty,2,481.93,963.86
10126,2461,2024-09-27,Sneakers,Clothing,4,295.9,1183.6
10127,4522,2023-07-19,Headphones,Electronics,3,77.81,233.43
10128,5477,2024-02-18,Blender,Home & Kitchen,2,277.49,554.98
10129,4706,2023-10-22,Fiction,Books,5,496.84,2484.2
10130,6367,2024-04-06,Tablet,Electronics,3,286.93,860.79
10131,3158,2025-01-18,Board Game,Toys,1,10.92,10.92
10132,6267,2024-06-09,Comics,Books,2,467.21,934.42
10133,2028,2024-05-06,Tablet,Electronics,1,125.1,125.1
10134,6232,2023-06-27,Lipstick,Beauty,2,347.38,694.76
10135,4973,2024-01-03,Biography,Books,5,262.39,1311.95
10136,5025,2025-03-19,Smartphone,Electronics,2,169.46,338.92
10137,6984,2025-02-17,Blender,Home & Kitchen,4,148.49,593.96
10138,3265,2024-02-06,Foundation,Beauty,1,465.09,465.09
10139,2856,2023-04-20,Comics,Books,1,456.84,456.84
10140,6026,2023-09-10,Action Figure,Toys,2,261.44,522.88
10141,3252,2023-09-06,Doll,Toys,4,136.66,546.64
10142,6605,2024-07-31,Biography,Books,4,60.15,240.6
10143,5871,2023-10-25,Tablet,Electronics,2,86.72,173.44
10144,3327,2023-04-30,Biography,Books,3,265.9,797.7
10145,3026,2024-05-29,Foundation,Beauty,5,160.84,804.2
10146,2362,2024-10-22,Jacket,Clothing,2,30.61,61.22
10147,3219,2024-11-13,Action Figure,Toys,4,233.03,932.12
10148,2606,2024-09-20,Tablet,Electronics,5,375.63,1878.15
10149,3671,2024-04-10,Microwave,Home & Kitchen,2,446.93,893.86
10150,6812,2023-11-08,Comics,Books,5,296.79,1483.95
10151,4298,2024-11-25,Skincare Set,Beauty,3,364.41,1093.23
10152,4195,2024-09-14,Non-Fiction,Books,4,188.39,753.56
10153,6444,2023-05-30,Cookware,Home & Kitchen,3,253.16,759.48
10154,3278,2023-11-29,Lipstick,Beauty,3,367.52,1102.56
10155,2399,2024-08-05,Microwave,Home & Kitchen,4,366.55,1466.2
10156,4173,2025-01-01,Lipstick,Beauty,3,218.02,654.06
10157,4811,2023-07-27,Jeans,Clothing,2,276.4,552.8
10158,4653,2024-05-07,Doll,Toys,2,462.69,925.38
10159,4940,2025-01-27,Skincare Set,Beauty,5,319.68,1598.4
10160,2822,2023-07-26,Blender,Home & Kitchen,2,324.86,649.72
10161,6998,2024-03-27,Headphones,Electronics,2,394.46,788.92
10162,2945,2023-06-23,Action Figure,Toys,5,66.46,332.3
10163,5479,2025-02-25,T-Shirt,Clothing,1,266.21,266.21
10164,4780,2024-05-27,Biography,Books,4,480.12,1920.48
10165,6430,2023-08-31,Sneakers,Clothing,2,187.21,374.42
10166,6451,2024-08-12,Jeans,Clothing,5,154.51,772.55
10167,3197,2023-10-07,Comics,Books,3,304.59,913.77
10168,3213,2023-10-17,Lipstick,Beauty,3,118.35,355.05
10169,2824,2023-04-22,Jacket,Clothing,2,282.41,564.82
10170,3897,2024-03-16,Lego,Toys,4,86.27,345.08
10171,6264,2023-07-20,Jeans,Clothing,5,294.1,1470.5
10172,4416,2023-12-16,Headphones,Electronics,5,305.17,1525.85
10173,2536,2023-10-26,Board Game,Toys,5,215.02,1075.1
10174,5011,2024-03-12,Headphones,Electronics,5,197.55,987.75
10175,4628,2023-05-18,Board Game,Toys,5,130.27,651.35
10176,5778,2023-12-19,Microwave,Home & Kitchen,4,172.15,688.6
10177,2950,2023-10-17,Biography,Books,5,254.19,1270.95
10178,5509,2023-04-10,Board Game,Toys,4,131.35,525.4
10179,6303,2023-12-23,Doll,Toys,4,393.59,1574.36
10180,2544,2024-11-29,Perfume,Beauty,4,357.43,1429.72
10181,5901,2024-06-06,Foundation,Beauty,3,141.96,425.88
10182,5754,2023-09-03,Microwave,Home & Kitchen,1,57.74,57.74
10183,6225,2025-03-11,Lipstick,Beauty,2,10.09,20.18
10184,4083,2024-05-07,Lipstick,Beauty,3,302.39,907.17
10185,4867,2024-11-15,Headphones,Electronics,1,113.57,113.57
10186,4247,2023-08-20,Perfume,Beauty,3,16.17,48.51
10187,3837,2023-10-03,Lipstick,Beauty,4,185.95,743.8
10188,2077,2025-01-01,Microwave,Home & Kitchen,4,481.38,1925.52
10189,2369,2023-08-01,Blender,Home & Kitchen,5,348.07,1740.35
10190,6622,2023-06-09,Jeans,Clothing,4,430.3,1721.2
10191,2349,2024-03-27,Skincare Set,Beauty,3,80.92,242.76
10192,6602,2024-12-09,Foundation,Beauty,2,45.91,91.82
10193,6739,2024-03-19,Doll,Toys,4,15.65,62.6
10194,6334,2024-11-08,Perfume,Beauty,1,478.27,478.27
10195,3456,2024-08-14,Headphones,Electronics,3,157.1,471.3
10196,4186,2023-09-24,Action Figure,Toys,1,235.16,235.16
10197,5812,2025-01-05,Perfume,Beauty,5,203.32,1016.6
10198,5273,2024-11-25,Laptop,Electronics,5,367.92,1839.6
10199,5683,2025-01-21,Jeans,Clothing,2,161.88,323.76
10200,3847,2025-03-19,Board Game,Toys,3,272.37,817.11
10201,3855,2024-12-28,Biography,Books,2,497.84,995.68
10202,4986,2024-11-25,Skincare Set,Beauty,1,227.59,227.59
10203,6451,2023-08-13,Action Figure,Toys,2,280.12,560.24
10204,4626,2023-06-09,Blender,Home & Kitchen,1,256.24,256.24
10205,4895,2024-04-19,Board Game,Toys,2,403.56,807.12
