Customer_ID,Payment_Date,Payment_Amount ($)
2861,2023-12-07,389.77
5773,2024-12-20,430.13
5093,2023-11-30,717.55
2467,2024-02-11,607.75
6427,2023-08-06,305.94
5445,2025-02-04,416.71
5172,2024-02-27,225.52
4920,2025-01-22,966.36
2131,2024-06-28,139.33
3686,2025-01-17,378.12
2770,2025-01-03,35.58
4392,2024-04-01,229.56
4434,2023-10-04,782.67
3185,2023-04-08,209.16
6556,2023-10-29,89.26
5386,2024-03-08,479.71
6118,2024-12-04,19.87
6844,2024-11-06,93.92
4905,2025-03-02,809.55
2475,2024-07-03,773.76
3083,2023-09-26,915.99
4559,2024-10-16,855.97
4048,2023-12-11,686.34
4748,2025-02-26,61.81
2976,2023-10-06,785.02
3807,2024-05-04,847.06
2190,2024-03-01,801.09
4735,2023-05-08,513.39
5006,2024-03-07,240.57
6659,2023-09-19,846.88
3900,2024-07-20,729.89
3268,2024-09-14,980.95
3529,2023-12-25,164.14
5203,2023-07-25,233.41
5557,2024-04-03,219.68
5891,2023-10-20,794.61
2647,2024-06-08,195.04
4889,2024-11-29,75.99
4436,2023-11-28,998.58
2601,2023-11-16,34.57
4364,2024-07-14,836.89
4062,2023-11-27,371.71
2242,2023-07-29,843.2
4042,2024-06-18,559.07
4825,2023-05-10,902.61
4613,2024-03-18,926.93
3364,2024-03-30,19.01
3479,2024-11-12,84.66
4557,2023-08-29,257.86
2776,2023-06-21,672.62
6015,2024-11-12,889.39
2035,2024-07-06,465.34
5153,2024-07-25,610.9
3956,2024-03-22,196.61
3586,2024-03-19,806.92
5944,2024-08-28,967.65
5074,2024-06-16,275.91
3022,2023-11-25,499.88
5462,2023-04-18,95.25
4614,2023-05-03,563.55
5844,2024-03-08,507.76
3501,2024-07-09,152.99
6799,2024-08-27,447.65
2162,2024-08-25,340.76
6298,2023-05-01,526.61
3982,2024-04-06,589.8
2996,2023-09-07,18.41
6912,2024-03-12,763.4
5343,2023-04-13,715.88
6552,2024-08-03,372.62
5799,2023-10-03,62.41
3276,2025-02-16,757.38
3017,2023-10-13,955.62
2338,2023-10-07,247.75
2879,2023-07-11,330.29
3077,2025-02-26,191.97
6888,2023-07-29,581.17
5994,2023-11-25,163.29
6860,2025-02-21,362.63
2380,2024-04-30,700.04
2493,2025-03-13,564.51
4063,2024-08-08,392.6
5885,2024-07-17,426.05
2065,2024-03-31,566.49
4569,2024-05-16,15.81
4028,2023-12-05,87.72
4696,2024-03-25,882.45
3496,2024-04-21,87.1
2392,2023-05-12,709.74
6515,2024-01-31,920.84
6475,2024-10-19,277.98
5562,2024-06-30,376.79
4279,2023-08-24,573.23
5100,2025-03-01,882.89
2201,2023-12-16,942.49
6876,2024-11-24,742.17
5105,2023-05-14,95.75
6599,2024-05-31,672.46
4455,2024-04-21,416.2
5646,2023-06-21,475.99
2805,2023-05-17,58.66
4732,2023-12-30,199.15
4774,2023-03-28,792.61
3571,2024-01-04,459.42
4691,2025-01-09,308.65
5841,2024-07-24,390.18
3029,2025-03-12,855.86
2503,2023-05-20,751.51
6494,2024-10-22,279.59
2871,2023-12-01,126.33
6489,2024-12-17,259.48
2207,2023-07-15,921.55
3485,2023-08-13,585.77
2864,2025-01-25,538.15
4791,2023-08-28,600.43
2564,2024-06-15,372.37
6192,2024-07-01,809.04
3758,2024-07-03,528.05
3679,2023-06-02,125.58
5243,2023-11-01,137.77
6637,2025-01-12,541.49
3060,2023-08-29,937.2
3723,2025-03-03,315.27
5315,2024-04-29,870.85
5158,2023-09-02,766.45
4626,2025-01-08,255.33
4730,2024-10-23,45.98
3598,2023-08-31,110.83
5061,2023-05-09,731.21
4694,2024-07-16,207.67
6892,2023-10-17,377.56
5628,2025-03-05,506.68
3364,2023-09-12,728.21
3982,2024-03-20,122.1
3664,2025-01-17,412.3
3530,2023-06-16,490.22
4039,2024-12-07,545.42
5303,2025-03-04,820.18
4238,2023-09-16,179.96
3307,2025-01-23,809.75
6030,2024-04-16,695.95
4676,2023-07-20,560.31
3283,2023-06-24,702.53
2710,2024-08-06,417.9
6745,2024-12-14,147.01
6414,2024-01-18,669.11
5749,2024-10-31,529.43
6780,2024-06-11,642.98
2664,2025-02-12,344.62
3999,2023-09-28,907.8
5446,2023-04-03,591.5
5744,2023-06-02,94.55
3496,2024-03-02,455.31
5305,2024-09-22,758.79
5764,2023-08-28,796.19
3854,2023-05-21,499.65
6660,2023-05-21,895.8
3292,2024-05-24,274.99
5582,2024-11-20,416.49
5458,2023-11-28,899.61
3637,2024-08-30,897.29
5697,2024-02-29,688.86
5000,2024-02-11,860.39
5153,2024-12-14,97.89
2699,2025-02-01,866.35
4161,2023-10-16,327.41
6098,2023-05-23,186.55
6738,2023-11-25,246.98
2855,2023-05-31,423.79
5475,2025-01-18,258.68
3708,2024-01-09,327.36
4778,2024-06-28,143.63
3734,2025-03-17,303.21
6932,2023-10-21,576.56
5511,2023-05-11,447.44
2203,2023-11-24,353.25
5256,2023-09-16,748.99
6219,2023-04-27,894.57
6497,2024-03-25,759.22
2767,2024-09-07,338.68
6390,2023-12-20,747.0
4328,2024-02-10,160.46
4932,2023-10-31,139.01
2198,2024-10-07,352.17
3931,2024-12-17,809.63
5583,2023-04-03,253.88
2609,2023-11-27,72.62
5273,2025-02-01,140.39
3148,2024-09-09,860.16
6283,2024-06-24,637.45
5398,2023-09-09,260.67
4512,2023-05-30,559.74
3795,2023-11-19,532.3
2660,2023-04-04,658.88
4812,2025-02-11,240.86
3370,2024-02-29,865.76
3987,2025-03-05,316.27
2147,2023-04-25,697.19
5220,2024-02-28,25.96
4912,2024-11-06,378.93
3735,2024-10-18,358.19
3844,2024-08-28,548.05
2489,2024-09-03,82.01
4977,2023-06-10,792.23
3960,2023-10-09,225.6
4386,2023-10-13,680.27
4920,2024-03-12,805.18
6737,2024-02-04,566.26
3803,2023-04-19,743.47
6062,2024-07-29,665.24
5370,2024-12-19,361.97
2263,2024-05-09,810.77
2624,2024-04-19,301.75
3017,2024-03-27,575.5
5644,2025-02-27,747.94
6977,2024-04-15,385.17
4050,2023-09-06,309.74
5724,2024-02-29,464.75
6549,2024-03-31,819.78
5109,2025-02-28,930.62
6091,2023-09-12,549.63
4057,2024-06-02,664.85
5171,2023-11-05,904.24
3683,2023-08-02,107.56
4256,2023-05-10,239.76
3155,2023-07-22,711.81
6500,2024-03-11,825.51
5192,2024-11-29,858.46
3697,2023-09-14,420.96
5992,2023-09-23,98.45
6724,2025-03-08,443.4
6683,2024-01-30,238.43
3649,2024-02-28,298.28
3446,2023-09-01,774.54
6200,2025-03-12,84.77
5924,2023-06-07,829.31
2254,2023-09-30,433.39
5184,2023-10-05,600.1
4558,2025-01-24,98.76
2099,2023-06-05,343.99
4201,2023-04-02,98.8
4962,2024-03-29,961.93
6974,2024-04-27,809.19
6434,2023-11-26,465.04
5778,2023-12-03,231.37
4870,2024-03-21,934.12
5235,2024-04-19,351.15
5792,2025-03-08,169.37
2957,2024-06-23,567.53
6068,2024-04-02,944.34
2161,2024-11-10,13.79
6494,2023-06-22,245.74
3301,2024-03-21,939.06
6912,2023-06-23,179.38
5988,2024-05-27,122.11
3528,2023-11-10,574.49
3219,2024-02-07,863.23
6497,2024-02-20,482.34
6736,2024-04-25,994.62
5105,2024-12-20,682.38
4736,2023-04-02,83.33
6556,2024-09-21,992.9
2955,2023-10-19,413.82
6566,2023-10-08,294.53
5447,2024-09-27,562.3
3046,2023-09-20,311.26
3694,2023-10-11,95.59
5437,2023-11-08,11.41
2563,2024-11-19,455.09
4486,2024-08-07,838.49
5355,2025-03-24,576.59
2226,2024-07-15,999.22
6894,2024-11-06,293.98
2960,2023-04-01,287.65
6549,2023-10-20,168.15
5068,2023-12-05,172.42
2816,2024-08-30,292.33
6755,2024-12-30,794.91
6643,2024-02-27,906.7
5121,2024-01-22,975.34
2017,2025-02-07,239.97
3244,2023-11-06,882.48
4206,2023-05-24,334.97
4525,2023-10-11,121.71
3070,2024-02-02,871.32
5445,2024-02-18,639.74
4566,2023-04-10,173.08
3061,2024-09-10,435.53
4328,2023-04-30,294.39
5421,2024-02-01,739.43
2302,2023-07-30,458.88
6277,2024-01-18,989.39
2607,2024-05-19,64.2
5171,2024-06-16,361.47
2700,2024-03-16,487.08
3140,2023-12-01,508.1
2191,2023-11-15,322.78
4301,2023-11-11,731.95
2981,2025-01-19,876.0
4976,2023-04-29,939.33
3185,2024-08-03,807.04
5328,2024-06-18,852.07
5395,2023-09-27,555.04
2128,2023-09-10,827.63
4066,2024-07-17,310.47
3817,2023-12-07,404.49
2570,2024-09-29,323.74
3896,2025-01-30,472.71
4734,2024-06-28,292.72
5864,2024-04-04,962.0
6722,2023-11-16,319.72
6015,2024-04-05,107.06
4902,2024-08-18,531.55
3687,2023-08-01,66.53
5010,2024-12-12,119.44
2155,2023-10-04,227.2
4538,2024-08-10,469.71
3410,2024-02-08,438.92
6058,2024-12-16,801.69
2785,2023-06-21,742.08
5176,2025-02-26,432.06
6342,2024-02-11,340.37
4807,2024-11-21,323.3
2538,2024-10-24,776.26
3842,2025-03-10,61.55
4456,2024-12-28,22.69
2525,2025-02-14,797.59
4951,2023-10-09,482.37
6132,2024-10-21,139.57
6781,2024-05-30,243.21
6116,2024-11-04,933.18
4369,2023-12-09,860.91
5848,2023-05-28,712.69
6496,2024-03-18,487.4
4702,2023-09-11,525.12
2972,2024-06-29,975.49
3167,2024-08-14,966.11
6930,2023-12-08,223.12
4775,2024-09-28,812.99
3983,2024-04-23,205.27
2854,2024-02-10,221.4
6147,2023-09-28,679.33
5737,2024-12-20,410.95
5770,2024-05-01,932.23
2575,2024-01-06,98.12
5262,2024-03-30,516.41
3149,2024-09-18,919.34
3716,2023-09-01,905.07
6778,2023-09-30,164.96
6934,2024-04-17,372.97
5855,2023-06-01,622.93
4492,2023-08-07,167.8
4661,2024-07-17,968.34
5125,2023-12-06,915.6
5052,2023-10-21,175.28
2005,2025-02-23,129.94
6870,2023-12-08,94.55
2877,2024-10-29,910.35
2992,2024-04-13,201.69
6143,2023-06-01,422.12
6365,2024-11-03,454.36
6466,2024-05-18,603.02
2636,2023-07-21,81.02
3694,2023-06-25,234.49
3683,2024-03-10,932.18
6753,2024-06-08,909.33
2120,2024-12-05,783.48
2831,2023-09-12,29.21
5676,2023-08-18,333.74
3370,2023-05-16,631.68
2741,2023-04-21,282.44
2117,2024-03-19,910.49
4839,2023-12-19,637.55
3151,2023-07-14,81.19
3932,2023-06-12,909.92
3013,2024-07-16,958.19
3665,2023-09-29,86.94
3082,2025-01-31,537.04
6730,2024-04-10,310.33
2513,2024-07-20,398.91
4850,2023-10-18,187.85
2560,2023-07-15,582.29
5673,2024-02-28,958.4
6584,2023-10-18,508.04
6993,2023-04-08,92.09
5344,2023-04-24,623.8
6071,2025-02-14,346.82
6800,2024-09-18,857.37
3471,2023-06-22,440.33
2581,2024-09-07,200.91
4295,2023-11-26,199.19
5148,2024-02-23,771.08
6250,2024-09-19,272.93
3680,2025-03-07,769.56
5507,2024-04-18,213.83
4745,2023-07-11,328.47
5357,2025-01-24,470.83
6046,2024-06-08,943.76
3244,2023-09-01,932.41
5119,2024-05-03,214.8
4142,2024-01-21,364.64
5060,2023-10-08,157.91
6549,2024-09-30,514.89
4960,2024-03-04,465.98
4266,2024-02-06,901.75
4480,2024-04-13,930.71
6647,2024-01-06,389.73
3636,2024-08-24,496.82
3758,2023-12-25,897.27
6453,2025-01-29,808.64
4071,2025-01-16,13.62
4850,2025-01-14,326.86
5252,2023-05-21,427.56
5731,2024-05-20,237.42
4490,2023-12-31,207.58
3632,2025-01-30,47.41
4817,2024-03-13,646.94
3016,2024-08-22,269.89
3349,2023-05-15,61.82
6612,2024-05-01,238.67
5088,2024-11-27,803.89
4840,2024-02-25,852.97
2336,2023-08-30,488.24
6593,2023-08-11,421.91
2896,2023-04-19,978.08
5547,2023-08-24,208.56
2852,2023-07-09,223.21
3688,2024-08-10,298.95
3932,2023-08-17,181.03
5747,2024-03-08,385.57
4428,2025-01-05,911.73
3569,2024-04-07,619.19
6001,2023-06-07,417.83
4739,2024-07-24,935.07
5499,2023-04-08,57.98
5914,2024-01-09,218.17
3067,2025-03-18,570.23
6381,2023-05-28,619.4
4445,2024-06-11,49.16
6108,2023-07-09,409.01
5374,2024-01-04,652.66
5970,2023-08-12,701.09
4547,2024-05-02,641.76
2754,2023-11-26,327.36
4083,2025-01-10,102.58
4775,2024-01-10,432.84
4897,2024-08-04,137.47
6186,2024-02-20,948.15
2776,2024-12-19,480.42
3626,2024-09-16,324.09
5070,2023-05-06,768.64
2418,2024-10-08,502.97
2115,2023-10-01,316.93
2617,2024-08-13,813.85
5975,2023-09-02,868.48
5268,2024-09-17,676.28
